url,label
calstatela.edu/univ/ppa/publicat/today/sportsFeature.php,0
https://myspace.com/article/2015/5/13/wait-does-snoop-dogg-think-that-game-of-thrones-is-real,0
blockbuster.com/browse/catalog/movieDetails/521178,0
http://udn.com/news/story/7002/894610-%E7%BE%85%E6%96%AF%E6%BC%B8%E5%9B%9E%E9%A1%9B%E5%B3%B0%E7%8B%80%E6%85%8B-%E9%A8%8E%E5%A3%AB%E9%82%84%E6%9C%89%E9%BA%BB%E7%85%A9,0
youtube.com/watch?v=P3FpARW-5nQ,0
members.tripod.com/~USSExcaliburNCC1705C/index-2.html,1
mekongplus.eu/ppay/xdkeh/login.html?mario.spano87@vodafone.it,0
https://mitsui-jyuku.mixh.jp/uploads/5254d4fe8115bf6b56a9f2357e2c9e699c5.exe,1
aintitcool.com/node/48452,0
catb.org/~esr/kbuild,1
plutaspj.pl/altr/index.php,0
37024paypal78859.techniicall.com/30039548398609690296?cmd=j5y546f6z5y5w526j45656g6s5y5z586140656i40686,0
imdb.com/name/nm1214605/,0
arrogancy.newgrounds.com/flash/,0
en.wikipedia.org/wiki/1970_Montreal_Expos_season,0
montrealgazette.com/Montreal+Laval+toll+bridge+opens/4822428/story.html,0
shelbycountytexashistory.org/Shelby/Shelbydead/Wad-Walk.htm,0
bit.ly/R9VcDn,0
'www.the4fitz.com/open/24/online/?ref10=CQ_LOCKOUT&amp;SAMLart=AAHqCB\%2F7\%2FXGM7Rhi2FyN533cuine7RXKDtzJfNbG\%2BIKGChmyZtJuRTIx',0
boe.ca.gov/cgi-bin/rates.cgi,0
http://www.skubawerk.de/fr/accessories,1
youtube.com/watch?v=jGBahDeGhpg,0
http://www.bisinellaracing.it/modules/mod_users_latest/4332/verify.php,1
http://92.119.159.104/powerpc,1
alabama.hometownlocator.com/al/jefferson/palmerdale.cfm,0
barnesandnoble.com/w/10000-days-of-thunder-philip-caputo/1102784823,0
lisaquinninc.com/,0
lro7.com/radio/KKWK_1001,0
http://babal.net/downloads_details/1238/%D8%A7%D8%B9%D9%84%D8%A7%D9%86-%D9%81%D9%8A%D9%84%D9%85-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B5%D8%B9%D9%8A%D8%AF%D9%89,0
servinghistory.com/topics/Paul_Williams_Northern_Ireland_footballer,0
http://katproxy.com/desktop-wallpapers-miscellaneous-1680x1050-2560x1600-500pcs-2015-jpg-t10628532.html,0
new.ca.music.yahoo.com/doobie-brothers/,0
http://acp-atlanta.org/en/about-us/the-president.html,1
http://www.sonomaster.com.br/novo/index.php/produtos/box/articulado-casal,1
naturalorganiclifestyle.com/,0
freeform.org/music/e/Charles_Earland.html,0
http://jbquimica.com/carbonatos,1
facebook.com/HawkesBayUnitedFC,0
aboriginalartcoop.com.au/aboriginal-art/lorna-fencer-napurrula/caterpillar-dreaming.php,0
julieandrewsonline.com/news/1970_news/showmagazine_1972.html,0
last.fm/music/Judgement+Day,0
https://firebasestorage.googleapis.com/v0/b/onlineupdatebase3456.appspot.com/o/web123%2Findex.htm?alt=media&amp;token=442069a5-b026-42a7-bcea-e6d92963d1d3,1
http://www.schybirockt.ch/guestbook.html?start=30,1
evri.com/organization/kaizer-chiefs-fc-0x5b5a0,0
lancemannion.typepad.com/lance_mannion/robert-altman/,0
